ref;pauta;custo;qtd_prd;qtd_fat;prc_giro;tot_fat;grupo;produto
13856048;98;38.36;70;70;1;6795.43;MODINHA PARTE DE CIMA;BLUSA
13856056;98;38.36;132;132;1;12628.39;MODINHA PARTE DE CIMA;BLUSA
13857015;89;29.48;41;41;1;3569.81;MODINHA PARTE DE CIMA;BLUSA
13857016;89;29.48;84;77;0.916666667;6235.02;MODINHA PARTE DE CIMA;BLUSA
13857048;89;29.48;69;64;0.927536232;5280.57;MODINHA PARTE DE CIMA;BLUSA
13858016;69;19.16;59;57;0.966101695;3423.98;MODINHA PARTE DE CIMA;BLUSA
13858048;69;19.16;196;189;0.964285714;11505.34;MODINHA PARTE DE CIMA;BLUSA
13859009;109;36;378;340;0.899470899;36455.76;JEANS PARTE DE CIMA ;BLUSA
13860009;149;46.27;373;168;0.450402145;24798.48;INDIVIDUAL  JEANS;MACACAO
13862009;149;48.77;471;464;0.985138004;67704.35;COMPRIDO JEANS;SKINNY
13863009;98;32.44;446;437;0.979820628;42072.58;CURTO  JEANS;SHORT
13864009;149;53.31;372;367;0.98655914;53817.14;JEANS PARTE DE CIMA ;CAMISA
13865009;139;42.89;494;490;0.991902834;67141.37;COMPRIDO JEANS;SKINNY
13868009;139;43.24;473;469;0.99154334;64492.86;COMPRIDO JEANS;SKINNY
13869009;139;43.49;483;478;0.989648033;64853.29;COMPRIDO JEANS;SKINNY
13871009;149;45.79;213;181;0.849765258;24282.38;COMPRIDO JEANS;SKINNY
13873009;159;50.06;465;456;0.980645161;71619.17;COMPRIDO JEANS;FLARE
13874009;139;41.89;337;206;0.611275964;23987.47;JEANS PARTE DE CIMA ;BLUSA
13878820;79;24.88;123;119;0.967479675;9198.9;MODINHA PARTE DE CIMA;BLUSA
13878821;79;24.88;121;119;0.983471074;9310.49;MODINHA PARTE DE CIMA;BLUSA
13879009;149;46.86;583;535;0.917667238;76545.62;COMPRIDO JEANS;FLARE
13880009;89;53.96;102;102;1;8981.95;CURTO  JEANS;SAIA
13881009;98;47.63;121;66;0.545454545;6431.36;SOBREPOSTO JEANS;COLETE
13882009;129;39.94;3116;2633;0.844993582;334681.64;COMPRIDO JEANS;FLARE
13883009;119;36.04;3785;2959;0.781770145;347215.49;COMPRIDO JEANS;SKINNY
13884009;159;48.07;661;643;0.972768533;100995.55;COMPRIDO JEANS;SKINNY
13885009;209;62.87;238;231;0.970588235;45720.5;INDIVIDUAL  JEANS;MACACAO
13886009;139;45.34;480;471;0.98125;64694.95;COMPRIDO JEANS;SKINNY
13887009;119;34.65;444;440;0.990990991;50681.61;CURTO  JEANS;SHORT
13889009;119;36.9;382;380;0.994764398;43097.2;COMPRIDO JEANS;PANTACOURT
