ref;pauta;custo;qtd_prd;qtd_fat;prc_giro;tot_fat;grupo;produto
14096009;139;44.03;500;494;0.988;66292.24;COMPRIDO JEANS;SKINNY
14097009;139;37.93;485;468;0.964948454;63641.28;COMPRIDO JEANS;SKINNY
14098009;144;42.51;508;490;0.964566929;68998.94;COMPRIDO JEANS;SKINNY
14099009;139;41.86;487;472;0.969199179;63681.07;COMPRIDO JEANS;SKINNY
14100009;159;53.28;492;481;0.977642276;67670.79;COMPRIDO JEANS;SKINNY
14101009;159;49.23;509;489;0.960707269;75885.57;COMPRIDO JEANS;FLARE
14102009;139;40.14;493;478;0.969574037;64801.33;COMPRIDO JEANS;SKINNY
14105009;114;36.61;434;428;0.986175115;47955.77;CURTO  JEANS;SAIA
14107009;149;42.56;1701;1526;0.897119342;222235.7;COMPRIDO JEANS;SKINNY
14108048;89;24.54;223;204;0.914798206;14412.35;MODINHA PARTE DE CIMA;BLUSA
14110009;159;52.8;530;521;0.983018868;80851.51;COMPRIDO JEANS;SKINNY
14111009;149;48.96;499;491;0.983967936;70804.87;COMPRIDO JEANS;SKINNY
14113016;69;22.59;207;173;0.835748792;10760.14;MODINHA PARTE DE CIMA;BLUSA
14114009;119;35.99;85;82;0.964705882;9524.44;CURTO  JEANS;BERMUDA
14115009;119;35.8;206;204;0.990291262;23192.48;CURTO  JEANS;BERMUDA
14116009;119;36.36;172;165;0.959302326;18876.2;CURTO  JEANS;BERMUDA
14118009;129;45.07;476;333;0.699579832;39414.03;JEANS PARTE DE CIMA ;BLUSA
14119009;119;33.6;35;35;1;4102.33;CURTO  JEANS;BERMUDA
14121009;98;27.21;236;228;0.966101695;22008.7;JEANS PARTE DE CIMA ;CAMISA
14123009;149;53.09;577;569;0.986135182;83560.93;COMPRIDO JEANS;SKINNY
14124009;139;42.31;487;444;0.911704312;52050.69;COMPRIDO JEANS;SKINNY
14125009;169;54.32;377;360;0.954907162;53306.52;INDIVIDUAL  JEANS;MACACAO
14126009;99;31.62;391;307;0.78516624;24988.86;JEANS PARTE DE CIMA ;BLUSA
14127009;139;42.87;504;493;0.978174603;67810.19;COMPRIDO JEANS;SKINNY
14128009;139;43.17;570;566;0.992982456;77145.6;COMPRIDO JEANS;SKINNY
14129009;139;43.13;503;494;0.982107356;67694.5;COMPRIDO JEANS;SKINNY
14130009;149;47.82;503;474;0.942345924;59729.41;COMPRIDO JEANS;SKINNY
14131009;179;59.31;502;348;0.693227092;50696.34;COMPRIDO JEANS;FLARE
14132009;98;35.47;440;435;0.988636364;40913.66;CURTO  JEANS;SHORT
14133015;99;32.73;102;97;0.950980392;9033.37;MODINHA PARTE DE CIMA;BLUSA
14133830;99;32.73;102;88;0.862745098;8296.76;MODINHA PARTE DE CIMA;BLUSA
14134009;139;43.88;504;484;0.96031746;65858.8;COMPRIDO JEANS;SKINNY
14135009;119;33.22;772;752;0.974093264;88247.5;CURTO  JEANS;BERMUDA
14136009;109;31.33;147;139;0.945578231;14053.86;CURTO  JEANS;BERMUDA
14137009;159;51.64;76;64;0.842105263;9965.59;COMPRIDO JEANS;SKINNY
14140009;139;44.62;385;367;0.953246753;49641.6;COMPRIDO JEANS;GIRLFRIEND
14141009;149;42.98;266;251;0.943609023;35568.22;COMPRIDO JEANS;SKINNY
14143009;119;35.16;504;492;0.976190476;57330.05;CURTO  JEANS;BERMUDA
14144009;109;34.06;450;384;0.853333333;41204.15;CURTO  JEANS;SHORT
14145009;171;57.35;500;470;0.94;78377.98;COMPRIDO JEANS;FLARE
14146009;149;47.92;478;462;0.966527197;67440.48;COMPRIDO JEANS;SKINNY
14148009;139;42.09;505;486;0.962376238;64359.62;COMPRIDO JEANS;MOM
14151016;98;29;264;247;0.935606061;22379.27;MODINHA PARTE DE CIMA;REGATA
14152009;139;46.28;508;490;0.964566929;67329.38;COMPRIDO JEANS;SKINNY
14154009;139;38.99;647;641;0.99072643;86714.89;COMPRIDO JEANS;SKINNY
14155009;154;46.62;808;799;0.988861386;121727.98;COMPRIDO JEANS;PANTACOURT
14156009;119;43.51;1096;1089;0.993613139;127527.47;COMPRIDO JEANS;PANTACOURT
14157009;149;50.04;474;474;1;69630.35;COMPRIDO JEANS;SKINNY
14159009;140;46.96;472;444;0.940677966;61250.14;COMPRIDO JEANS;SKINNY
14160009;144;47.12;468;468;1;65876.5;COMPRIDO JEANS;SKINNY
14161009;119;36.3;452;423;0.935840708;48682.82;CURTO  JEANS;SHORT
14162015;119;38.04;256;241;0.94140625;27744.74;MODINHA PARTE DE CIMA;REGATA
14164009;124;40.5;507;485;0.956607495;54407.36;CURTO  JEANS;BERMUDA
14166009;169;53.96;1157;1131;0.97752809;179854.74;COMPRIDO JEANS;FLARE
14167009;179;59.25;500;495;0.99;85951.16;COMPRIDO JEANS;FLARE
14168009;159;52.49;496;488;0.983870968;75986.57;COMPRIDO JEANS;SKINNY
14169009;219;71.8;391;375;0.959079284;77897.75;INDIVIDUAL  JEANS;MACACAO
14170009;139;44.21;228;221;0.969298246;30174.81;COMPRIDO JEANS;SKINNY
14172009;139;44.01;636;623;0.979559748;84010.4;COMPRIDO JEANS;FLARE
14173009;119;37.15;104;104;1;11632.83;CURTO  JEANS;BERMUDA
14175009;144;47.54;457;416;0.910284464;56778.97;COMPRIDO JEANS;SKINNY
14178009;169;54.83;412;404;0.980582524;64315.27;COMPRIDO JEANS;FLARE
14180009;169;54.41;401;376;0.93765586;59422.1;INDIVIDUAL  JEANS;MACACAO
14182016;69;22.48;101;98;0.97029703;6630.75;MODINHA PARTE DE CIMA;BLUSA
14182048;69;22.48;99;96;0.96969697;6333.99;MODINHA PARTE DE CIMA;BLUSA
14183009;198;63.96;471;453;0.961783439;85048.2;COMPRIDO JEANS;PANTALONA
14184016;119;40.06;200;184;0.92;19638.27;MODINHA PARTE DE CIMA;BLUSA
14185015;79;24.47;65;60;0.923076923;4363.74;MODINHA PARTE DE CIMA;BLUSA
14185016;79;24.47;45;40;0.888888889;3063.05;MODINHA PARTE DE CIMA;BLUSA
14188836;89.9;30.01;180;172;0.955555556;14889.42;MODINHA PARTE DE CIMA;BLUSA
14189009;114;37.35;428;389;0.908878505;40713.54;CURTO  JEANS;BERMUDA
14190009;109;34.38;397;349;0.879093199;35234.09;JEANS PARTE DE CIMA ;REGATA
14191009;159;50.35;972;952;0.979423868;148021.03;COMPRIDO JEANS;SKINNY
14192009;159;54.06;425;355;0.835294118;51826.57;CURTO  JEANS;SHORT
14194009;139;39.09;659;585;0.887708649;77083.19;COMPRIDO JEANS;SKINNY
14195009;249;80.81;375;325;0.866666667;69192.49;INDIVIDUAL  JEANS;VESTIDO
14197009;159;49.67;565;522;0.923893805;76147.04;COMPRIDO JEANS;FLARE
14198009;139;43.18;490;474;0.967346939;65595.99;COMPRIDO JEANS;SKINNY
14200009;199.9;67.05;388;182;0.469072165;33639;SOBREPOSTO JEANS;COLETE
14202009;249;81.02;403;279;0.692307692;56322.83;CURTO  JEANS;BERMUDA
14205009;139;41.06;1026;964;0.93957115;131933.59;COMPRIDO JEANS;SKINNY
14206009;119;35.59;408;228;0.558823529;23428.75;JEANS PARTE DE CIMA ;CAMISA
14207015;99.9;29.89;147;144;0.979591837;14164.76;MODINHA PARTE DE CIMA;BLUSA
14207056;99.9;29.89;129;126;0.976744186;12262.6;MODINHA PARTE DE CIMA;BLUSA
14209009;159;52.84;480;458;0.954166667;71361.23;COMPRIDO JEANS;FLARE
14210009;119;39.33;376;332;0.882978723;38533.54;CURTO  JEANS;BERMUDA
14213009;109;33.3;357;311;0.871148459;32516.26;CURTO  JEANS;SAIA
14214009;139;45.6;383;346;0.903394256;44890.86;SOBREPOSTO JEANS;COLETE
14215009;119;38.65;510;408;0.8;44574.47;COMPRIDO JEANS;PANTACOURT
14216009;139;45.59;369;363;0.983739837;47924.21;JEANS PARTE DE CIMA ;CAMISA
14217009;129;40.7;347;332;0.956772334;41166.81;CURTO  JEANS;SHORT
14218009;109;35.82;444;410;0.923423423;43646.79;CURTO  JEANS;SAIA
14221009;119;38.03;311;294;0.945337621;34771.44;JEANS PARTE DE CIMA ;CAMISA
14222009;154;50.29;484;472;0.975206612;66094.75;COMPRIDO JEANS;FLARE
14223009;149;43.75;403;395;0.980148883;57425.52;COMPRIDO JEANS;SKINNY
14224009;149;43.85;395;380;0.962025316;55145.74;COMPRIDO JEANS;SKINNY
14225009;159;52;389;372;0.956298201;57275.72;COMPRIDO JEANS;SKINNY
14229009;179;55.76;353;346;0.980169972;58315.08;INDIVIDUAL  JEANS;VESTIDO
14230009;149;49.89;376;356;0.946808511;51838.16;INDIVIDUAL  JEANS;VESTIDO
14231009;119;39.42;441;429;0.972789116;50442.63;COMPRIDO JEANS;JOGGER
14232009;139;45.52;446;376;0.843049327;49991.63;COMPRIDO JEANS;PANTACOURT
14233009;199;66.17;362;339;0.936464088;64241.67;INDIVIDUAL  JEANS;MACACAO
14234009;144;47.08;435;423;0.972413793;59951.81;COMPRIDO JEANS;SKINNY
14236009;129;37.88;364;264;0.725274725;31467.26;JEANS PARTE DE CIMA ;CAMISA
14237009;119;38.5;358;343;0.958100559;39915.88;CURTO  JEANS;BERMUDA
14238009;149;48.31;428;421;0.98364486;61711.16;COMPRIDO JEANS;SKINNY
14239009;109.9;35.96;289;236;0.816608997;25243.84;JEANS PARTE DE CIMA ;CORSELET
14240009;151;50.57;506;443;0.875494071;59422.77;COMPRIDO JEANS;FLARE
14243009;269;82.16;428;399;0.932242991;102595.31;COMPRIDO JEANS;SKINNY
14244009;149;49.67;362;118;0.325966851;16962.95;COMPRIDO JEANS;PANTACOURT
14246009;139;44.72;402;227;0.564676617;30925.66;COMPRIDO JEANS;MOM
14247009;159;53.67;383;341;0.890339426;52124.98;COMPRIDO JEANS;SKINNY
14249009;149;48.35;396;361;0.911616162;53214.7;COMPRIDO JEANS;SKINNY
14252009;169;56.22;377;331;0.877984085;54007.51;INDIVIDUAL  JEANS;MACACAO
14253009;139;34.42;330;293;0.887878788;37706.82;JEANS PARTE DE CIMA ;CAMISA
14254009;139;44.43;230;214;0.930434783;29225.98;COMPRIDO JEANS;SKINNY
14255009;144;46.95;362;234;0.64640884;30969.76;SOBREPOSTO JEANS;JAQUETA
14256009;129;38.3;499;453;0.907815631;56877.08;COMPRIDO JEANS;SKINNY
14257009;139;42.8;494;111;0.224696356;15304.04;COMPRIDO JEANS;PANTACOURT
14259009;139;44.49;405;106;0.261728395;12321.66;INDIVIDUAL  JEANS;VESTIDO
14261015;69;20.77;167;162;0.97005988;10884.87;MODINHA PARTE DE CIMA;BLUSA
14263009;119;39.02;387;228;0.589147287;25880.22;INDIVIDUAL  JEANS;MACACAO
14264016;139;34.44;193;168;0.870466321;23033.87;MODINHA PARTE DE CIMA;CAMISA
14265105;89;28.99;102;101;0.990196078;8708.86;MODINHA PARTE DE CIMA;BLUSA
14265849;89;28.99;102;99;0.970588235;8571.3;MODINHA PARTE DE CIMA;BLUSA
14266016;109;36.38;121;98;0.809917355;10242.86;MODINHA PARTE DE CIMA;BLUSA
14267016;109;37.48;39;37;0.948717949;3943.93;MODINHA PARTE DE CIMA;BLUSA
14269009;119;37.41;453;236;0.520971302;27157.49;COMPRIDO JEANS;PANTACOURT
14270009;129;39.75;380;295;0.776315789;34582.08;COMPRIDO JEANS;MOM
14271009;204;67.78;435;415;0.954022989;76690.66;COMPRIDO JEANS;SKINNY
14273009;209;61.47;330;300;0.909090909;59145.68;INDIVIDUAL  JEANS;MACACAO
14274009;129;42.74;347;312;0.899135447;39428.89;CURTO  JEANS;SHORT
14275009;129;39.42;344;319;0.927325581;40476.93;CURTO  JEANS;SAIA
14276009;229;75.07;344;178;0.51744186;29731.23;SOBREPOSTO JEANS;JAQUETA
14277009;106;35.17;353;313;0.886685552;30606.57;CURTO  JEANS;SAIA
14278009;139;43.37;472;463;0.980932203;62101.78;COMPRIDO JEANS;SKINNY
14279009;139;45.53;439;432;0.98405467;59266.45;COMPRIDO JEANS;SKINNY
14280009;189;56.83;391;308;0.787723785;56339.61;SOBREPOSTO JEANS;JAQUETA
14281009;129;37.56;328;311;0.948170732;39520.71;JEANS PARTE DE CIMA ;CAMISA
14282009;144;46.07;450;344;0.764444444;47837.47;COMPRIDO JEANS;MOM
14283009;149;42.64;508;450;0.885826772;66272.06;COMPRIDO JEANS;SKINNY
14284009;159;53.65;471;416;0.883227176;51644.4;COMPRIDO JEANS;FLARE
14285009;149;48.4;459;437;0.952069717;64187.54;COMPRIDO JEANS;SKINNY
14286009;129;39.88;479;465;0.970772443;57815.2;COMPRIDO JEANS;SKINNY
14287009;129;42.38;335;248;0.740298507;30470.46;JEANS PARTE DE CIMA ;CAMISA
14288009;139;41.12;410;403;0.982926829;55112.5;COMPRIDO JEANS;SKINNY
14289009;129;39.49;493;487;0.987829615;62096.14;COMPRIDO JEANS;SKINNY
14290009;139;43.47;505;495;0.98019802;68320.09;COMPRIDO JEANS;FLARE
14291009;149;41.69;443;358;0.808126411;51386.2;COMPRIDO JEANS;SKINNY
14292009;149;47.26;406;390;0.960591133;57512.28;COMPRIDO JEANS;SKINNY
14293009;159;49.23;433;404;0.933025404;59978.7;COMPRIDO JEANS;FLARE
14294015;99;30.3;93;84;0.903225806;8255.4;MODINHA PARTE DE CIMA;BLUSA
14294016;99;30.3;51;49;0.960784314;4836.17;MODINHA PARTE DE CIMA;BLUSA
14294134;99;30.3;47;43;0.914893617;4212.54;MODINHA PARTE DE CIMA;BLUSA
14295015;79;24.88;207;158;0.763285024;12241.44;MODINHA PARTE DE CIMA;BLUSA
14296078;89;25.77;203;198;0.975369458;17184.26;MODINHA PARTE DE CIMA;BLUSA
14297015;89;30.35;40;39;0.975;3442.62;MODINHA PARTE DE CIMA;BLUSA
14298727;139;47.54;154;143;0.928571429;19485.84;MODINHA PARTE DE CIMA;CAMISA
14299015;89;26.33;90;88;0.977777778;7765.54;MODINHA PARTE DE CIMA;BLUSA
14300057;89;25.3;31;30;0.967741935;2653.24;MODINHA PARTE DE CIMA;BLUSA
14302009;109;34.9;135;122;0.903703704;12993.59;MODINHA PARTE DE CIMA;BODY
14304009;149;48.5;480;448;0.933333333;65600.98;COMPRIDO JEANS;SKINNY
14305016;89;25.96;201;179;0.890547264;15407.12;MODINHA PARTE DE CIMA;BLUSA
14306009;159;48.89;490;457;0.932653061;65320.98;COMPRIDO JEANS;FLARE
14307009;159;54.51;477;455;0.953878407;63991.77;COMPRIDO JEANS;FLARE
14309009;99.9;33.55;401;381;0.950124688;37561.81;CURTO  JEANS;SAIA
14310009;139;40.75;517;499;0.965183752;68055.9;COMPRIDO JEANS;SKINNY
14311009;129;39.33;561;117;0.20855615;14923.68;COMPRIDO JEANS;PANTACOURT
14312009;149;41.64;480;361;0.752083333;48395.04;COMPRIDO JEANS;SKINNY
14313009;129;36.56;487;459;0.942505133;58246.83;COMPRIDO JEANS;SKINNY
14314009;139;44.17;493;462;0.937119675;62325.42;COMPRIDO JEANS;FLARE
14315009;219;65.15;349;297;0.851002865;62580.01;INDIVIDUAL  JEANS;VESTIDO
14316009;139;39.42;519;483;0.930635838;66065.21;COMPRIDO JEANS;SKINNY
14317009;139;43.78;461;436;0.945770065;59242.45;COMPRIDO JEANS;SKINNY
14318009;124;39.58;486;457;0.940329218;52255.47;COMPRIDO JEANS;SKINNY
14319048;89;21.68;126;122;0.968253968;10772.34;MODINHA PARTE DE CIMA;BLUSA
14319824;89;21.68;74;70;0.945945946;6157.88;MODINHA PARTE DE CIMA;BLUSA
14320009;149;45.96;406;336;0.827586207;44885.69;COMPRIDO JEANS;SKINNY
14321009;198;75.21;96;94;0.979166667;16784.29;SOBREPOSTO JEANS;COLETE
14322009;144;44.14;341;201;0.589442815;26852.6;JEANS PARTE DE CIMA ;BLUSA
14323015;129;34.09;790;455;0.575949367;55447.23;MODINHA PARTE DE CIMA;BLUSA
14325009;144;41.62;553;544;0.983725136;77652.5;COMPRIDO JEANS;SKINNY
14326009;149;46.15;441;431;0.977324263;58651.05;COMPRIDO JEANS;FLARE
14327009;144;40.99;599;524;0.874791319;74599.67;COMPRIDO JEANS;SKINNY
14328009;139;42.52;480;456;0.95;62527.42;COMPRIDO JEANS;SKINNY
14329009;139;39.71;555;517;0.931531532;69775.32;COMPRIDO JEANS;SKINNY
14332015;149;44.31;292;210;0.719178082;30557.02;COMPRIDO JEANS;PANTACOURT
14333015;99;25.89;199;182;0.914572864;16935.54;MODINHA PARTE DE CIMA;BODY
14336015;179;50.55;268;238;0.888059701;41352.07;COMPRIDO JEANS;SKINNY
14337525;104;33.96;37;32;0.864864865;3240.95;MODINHA PARTE DE CIMA;BLUSA
14338009;149;41.13;488;467;0.956967213;65157.29;COMPRIDO JEANS;SKINNY
14339009;159;49.73;466;442;0.948497854;69478.23;COMPRIDO JEANS;FLARE
14341009;149;45.6;565;531;0.939823009;77484.21;COMPRIDO JEANS;SKINNY
14342009;279;91.13;314;191;0.608280255;42937.73;INDIVIDUAL  JEANS;MACACAO
14343009;149;47.71;433;401;0.926096998;58976.31;COMPRIDO JEANS;SKINNY
14344016;104;31.99;67;47;0.701492537;4737.3;MODINHA PARTE DE CIMA;BLUSA
14345009;129;39.24;400;358;0.895;45030.72;CURTO  JEANS;SHORT
14346009;209;62.7;348;337;0.968390805;69440.79;SOBREPOSTO JEANS;JAQUETA
14348015;109;36.41;142;109;0.767605634;11305.05;MODINHA PARTE DE CIMA;BLUSA
14349015;99;27.11;197;167;0.847715736;16360.97;MODINHA PARTE DE CIMA;BLUSA
14351009;139;39.24;523;482;0.921606119;65792.57;COMPRIDO JEANS;SKINNY
14352009;139;40.45;490;465;0.948979592;62888.23;COMPRIDO JEANS;SKINNY
14353009;144;43.93;468;458;0.978632479;64985.22;COMPRIDO JEANS;FLARE
14354009;139;36.04;665;594;0.893233083;81441.2;COMPRIDO JEANS;SKINNY
14355009;149;45.89;288;265;0.920138889;37198.23;COMPRIDO JEANS;FLARE
14356009;109;33.72;374;359;0.959893048;38576.61;CURTO  JEANS;SAIA
14357009;139;43.18;417;322;0.772182254;41483.55;COMPRIDO JEANS;PANTACOURT
14360009;129;33;210;199;0.947619048;25363.28;COMPRIDO JEANS;SKINNY
14361009;179;56.88;538;514;0.955390335;91100.09;COMPRIDO JEANS;SKINNY
14362009;139;36.96;522;509;0.975095785;69827.02;COMPRIDO JEANS;SKINNY
14363009;129;32.84;287;279;0.972125436;35617.37;JEANS PARTE DE CIMA ;CAMISA
14364009;149;41.57;544;524;0.963235294;77249.92;COMPRIDO JEANS;SKINNY
14365009;139;49.45;363;335;0.922865014;45788.7;COMPRIDO JEANS;SKINNY
14366009;142;40.75;488;466;0.954918033;64788.71;COMPRIDO JEANS;SKINNY
14367009;154;49.51;569;509;0.894551845;73966.57;COMPRIDO JEANS;FLARE
14368009;109;29;522;226;0.432950192;24285.89;CURTO  JEANS;BERMUDA
14369009;149;45.79;573;549;0.958115183;80766.14;COMPRIDO JEANS;FLARE
14370009;139;36.48;588;548;0.931972789;75257.06;COMPRIDO JEANS;SKINNY
14371016;109;31.94;134;103;0.768656716;11139.15;MODINHA PARTE DE CIMA;BLUSA
14372015;159;46.72;198;172;0.868686869;27084.68;COMPRIDO JEANS;JOGGER
14373009;119;38.14;553;541;0.978300181;63614.41;COMPRIDO JEANS;JOGGER
14374009;139;39.51;444;437;0.984234234;60170.24;COMPRIDO JEANS;SKINNY
14375009;129;37.3;65;58;0.892307692;7415;JEANS PARTE DE CIMA ;CAMISA
14376009;139;43.98;486;457;0.940329218;59983.65;COMPRIDO JEANS;SKINNY
14377009;129;33.78;1245;1245;1;158658.17;COMPRIDO JEANS;FLARE
14378009;119;32.49;2808;2808;1;329738.37;COMPRIDO JEANS;SKINNY
14380016;104;33.45;119;106;0.890756303;10849.11;MODINHA PARTE DE CIMA;BLUSA
14381016;99;29.5;208;164;0.788461538;15738.93;MODINHA PARTE DE CIMA;BLUSA
14382016;124;35.07;186;152;0.817204301;17939.26;MODINHA PARTE DE CIMA;BLUSA
14383009;139;35.49;492;459;0.932926829;62662.26;COMPRIDO JEANS;SKINNY
14384009;139;32.74;567;500;0.881834215;66714.63;COMPRIDO JEANS;SKINNY
14386009;99;23.58;449;408;0.908685969;37597.96;CURTO  JEANS;BERMUDA
14389009;229;71.4;331;258;0.779456193;54851.17;COMPRIDO JEANS;FLARE
14390009;179;56.25;524;447;0.853053435;79023.73;COMPRIDO JEANS;MOM
14391009;149;47.34;1478;1441;0.974966171;212264.08;COMPRIDO JEANS;FLARE
14392009;139;32.7;591;526;0.89001692;72286.04;COMPRIDO JEANS;JOGGER
14393009;114;29.36;356;349;0.980337079;39300.09;CURTO  JEANS;SAIA
14396009;124;31.09;365;345;0.945205479;40810.48;JEANS PARTE DE CIMA ;CAMISA
14398009;144;41.51;507;494;0.974358974;70375.71;COMPRIDO JEANS;SKINNY
14399009;139;39.27;401;262;0.653366584;36037.86;JEANS PARTE DE CIMA ;CAMISA
14400009;144;39.05;480;419;0.872916667;58827.93;COMPRIDO JEANS;SKINNY
14401015;99;27.09;187;113;0.604278075;8777.11;MODINHA PARTE DE CIMA;BLUSA
14405009;139;32.33;588;542;0.921768707;74910.07;COMPRIDO JEANS;SKINNY
14408009;119;31.92;378;295;0.78042328;33761.68;CURTO  JEANS;BERMUDA
14409009;109;28.88;382;256;0.670157068;26653.3;CURTO  JEANS;BERMUDA
14410009;149;48.09;192;173;0.901041667;25388.38;COMPRIDO JEANS;FLARE
14411009;139;37.59;590;545;0.923728814;74350.58;COMPRIDO JEANS;SKINNY
14413009;139;40.09;612;544;0.888888889;72311.26;COMPRIDO JEANS;SKINNY
14414009;144;42.97;432;403;0.93287037;57562.03;COMPRIDO JEANS;FLARE
14416009;149;45.7;462;348;0.753246753;50737.24;COMPRIDO JEANS;FLARE
14418009;139;41.72;135;121;0.896296296;16604.11;INDIVIDUAL  JEANS;JARDINEIRA
14419009;139;48.05;406;309;0.761083744;38019.29;COMPRIDO JEANS;SKINNY
14420009;149;47.11;391;353;0.902813299;51740.01;COMPRIDO JEANS;SKINNY
14422009;144;41.85;591;238;0.402707276;33971.4;COMPRIDO JEANS;SKINNY
14424009;139;40.48;457;360;0.787746171;49474.31;COMPRIDO JEANS;SKINNY
14425009;89;19.54;578;558;0.965397924;49279.96;MODINHA PARTE DE CIMA;BLUSA
14426009;199.9;95.23;187;148;0.79144385;23231.88;SOBREPOSTO JEANS;COLETE
14427009;139;32.85;445;418;0.939325843;57398.94;COMPRIDO JEANS;SKINNY
14428009;144;40.52;586;533;0.909556314;75580.12;COMPRIDO JEANS;SKINNY
14429009;139;43.17;606;568;0.937293729;78046.98;COMPRIDO JEANS;SKINNY
14430009;149;40.91;544;318;0.584558824;47095.93;COMPRIDO JEANS;SKINNY
14432009;109;28.61;385;329;0.854545455;35131.46;CURTO  JEANS;BERMUDA
14433009;109;28.61;396;326;0.823232323;34820.57;CURTO  JEANS;BERMUDA
14435009;109;30.2;443;396;0.893905192;42833.88;CURTO  JEANS;SHORT
14436009;109;28.76;446;291;0.652466368;31479.84;CURTO  JEANS;BERMUDA
14437015;99;28.31;312;116;0.371794872;10692.61;MODINHA PARTE DE CIMA;BLUSA
14438009;139;30.85;619;524;0.846526656;71799.86;COMPRIDO JEANS;SKINNY
14439009;144;42.84;600;441;0.735;62888.45;COMPRIDO JEANS;SKINNY
14441009;139;40.42;650;554;0.852307692;75820.69;COMPRIDO JEANS;SKINNY
14442009;139;33.72;104;91;0.875;12634.72;JEANS PARTE DE CIMA ;CAMISA
14443009;139;32.57;743;330;0.444145357;45159.61;COMPRIDO JEANS;SKINNY
14444009;174;54.64;328;285;0.868902439;49152.39;INDIVIDUAL  JEANS;MACACAO
14445048;99;28.6;194;67;0.345360825;6186.66;MODINHA PARTE DE CIMA;BLUSA
14446009;144;39.24;493;210;0.425963489;29899.3;COMPRIDO JEANS;SKINNY
14447009;139;41.98;800;612;0.765;83954.17;COMPRIDO JEANS;SKINNY
14449009;139;40;486;437;0.899176955;59928.58;COMPRIDO JEANS;SKINNY
14450009;109;26.76;398;180;0.452261307;19405.23;CURTO  JEANS;BERMUDA
14453009;139;34.73;592;567;0.95777027;77874.58;COMPRIDO JEANS;SKINNY
14456016;129;35.49;125;76;0.608;9620.58;MODINHA PARTE DE CIMA;BODY
14456056;129;35.49;104;28;0.269230769;3560.55;MODINHA PARTE DE CIMA;BODY
14457015;129;38.81;147;76;0.517006803;9729.35;MODINHA PARTE DE CIMA;BODY
14458009;144;42.53;430;159;0.369767442;22460.33;INDIVIDUAL  JEANS;VESTIDO
14459015;139;41.79;185;180;0.972972973;24817.93;MODINHA PARTE DE CIMA;BODY
14459016;139;41.79;288;281;0.975694444;38525.19;MODINHA PARTE DE CIMA;BODY
14460015;119;35.69;243;148;0.609053498;17518.08;MODINHA PARTE DE CIMA;BLUSA
14460048;119;35.69;265;222;0.837735849;26215.51;MODINHA PARTE DE CIMA;BLUSA
14460057;119;35.69;30;12;0.4;1410.3;MODINHA PARTE DE CIMA;BLUSA
14462009;139;36.24;797;686;0.860727729;94243.86;COMPRIDO JEANS;SKINNY
14464009;139;43.45;814;696;0.855036855;95686.67;COMPRIDO JEANS;SKINNY
14465009;129;34.24;844;433;0.513033175;55549.92;COMPRIDO JEANS;SKINNY
14469009;109;23.93;446;281;0.630044843;30380.32;CURTO  JEANS;SHORT
14471009;119;31.78;502;460;0.916334661;54187.74;CURTO  JEANS;SAIA
14473016;99;22.77;398;146;0.366834171;13644.98;MODINHA PARTE DE CIMA;BLUSA
14474009;129;35.69;1338;1284;0.959641256;164538.02;CURTO  JEANS;SAIA
14475009;99;0;233;80;0.343347639;7565.81;CURTO  JEANS;BERMUDA
14476009;109;0;157;113;0.719745223;11383.34;CURTO  JEANS;BERMUDA
14477009;99;0;432;122;0.282407407;10939.13;CURTO  JEANS;BERMUDA
14478009;139;37.48;497;448;0.901408451;61707.98;COMPRIDO JEANS;SKINNY
14479009;139;38.28;933;488;0.523043944;66701.26;COMPRIDO JEANS;SKINNY
14481009;144;41.38;420;420;1;59938.71;COMPRIDO JEANS;SKINNY
14482009;119;29.64;593;520;0.876897133;61427.67;CURTO  JEANS;SHORT
14483009;149;38.61;1177;1008;0.856414613;148339.6;COMPRIDO JEANS;SKINNY
14484009;149;41.98;506;464;0.916996047;68750.84;COMPRIDO JEANS;CALCA
14485009;159;45.72;750;298;0.397333333;46922.77;COMPRIDO JEANS;SKINNY
14486009;159;44.76;677;495;0.731166913;77892.25;COMPRIDO JEANS;SKINNY
14487009;159;45.37;620;395;0.637096774;62209.88;COMPRIDO JEANS;SKINNY
14488009;139;40.14;489;219;0.447852761;30161.63;JEANS PARTE DE CIMA ;CAMISA
14489016;89;20.82;516;292;0.565891473;23835.93;MODINHA PARTE DE CIMA;BLUSA
14490015;99;26.3;576;379;0.657986111;34207.26;MODINHA PARTE DE CIMA;BLUSA
14491009;109;28.12;210;140;0.666666667;15100.88;JEANS PARTE DE CIMA ;BLUSA
14493009;109;27.18;139;104;0.748201439;11078.27;JEANS PARTE DE CIMA ;BLUSA
14494015;129;32.07;248;49;0.197580645;6223.2;MODINHA PARTE DE CIMA;BODY
14495009;129;33.27;862;675;0.783062645;85907.48;INDIVIDUAL  JEANS;VESTIDO
14496016;129;32.11;203;176;0.866995074;22332.61;MODINHA PARTE DE CIMA;CAMISA
14496885;129;32.11;193;148;0.766839378;19005.9;MODINHA PARTE DE CIMA;CAMISA
14497015;109;25.14;523;35;0.066921606;3809.55;MODINHA PARTE DE CIMA;BLUSA
14498009;129;37.39;474;159;0.335443038;20403.5;JEANS PARTE DE CIMA ;BLUSA
14499009;119;30.56;589;250;0.424448217;29537.31;CURTO  JEANS;SHORT
